Temporada,Fecha_Update,Fruta,Centro_acopio,Estado,PR_Productor,Nombre_Productor,Codigo_Huerto,Nombre_Huerto,Liberacion,Hectareas,Mes,Semana,Cajas_proyectadas,Ha en produccion,Variedad,% avance,% restante,Semanas restantes,Cajas totales,Filial,Kg,Columna1
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,ago-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,sep-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,oct-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,nov-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,dic-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,ene-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,feb-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,mar-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,abr-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,may-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,jun-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,jul-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,ago-22,,37333,"0,00",,,,,,Euromeridian,"76,16",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,sep-22,,73858,"0,00",,,,,,Euromeridian,"150,67",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,oct-22,,65647,"0,00",,,,,,Euromeridian,"133,92",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,nov-22,,65647,"0,00",,,,,,Euromeridian,"133,92",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,dic-22,,65647,"0,00",,,,,,Euromeridian,"133,92",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,ene-23,,85176,"0,00",,,,,,Euromeridian,"173,76",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,feb-23,,47059,"0,00",,,,,,Euromeridian,96,
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,mar-23,,38235,"0,00",,,,,,Euromeridian,78,
